UNIQUE_ID,STEPSEQ,LOT_ID,Wafer,P_EQPID,Photo_PPID,MMO_MRC_EQP,P_TIME,M_TIME,ChuckID,K PARA,GPM,INDEX
VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11,VH075030,B3N049.1,11,PTVB827,3GJPBVH.VH075P,-,2024-05-30 15:39:37,2024-05-30 17:17:40,EX1,W1,0.0003572,1
VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11,VH075030,B3N049.1,11,PTVB827,3GJPBVH.VH075P,-,2024-05-30 15:39:37,2024-05-30 17:17:40,EX1,W2,0.0038452,2
VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11,VH075030,B3N049.1,11,PTVB827,3GJPBVH.VH075P,-,2024-05-30 15:39:37,2024-05-30 17:17:40,EX1,W3,0.0168,3
VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11,VH075030,B3N049.1,11,PTVB827,3GJPBVH.VH075P,-,2024-05-30 15:39:37,2024-05-30 17:17:40,EX1,W4,-0.0027,4
VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11,VH075030,B3N049.1,11,PTVB827,3GJPBVH.VH075P,-,2024-05-30 15:39:37,2024-05-30 17:17:40,EX1,W5,-0.0042,5
VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11,VH075030,B3N049.1,11,PTVB827,3GJPBVH.VH075P,-,2024-05-30 15:39:37,2024-05-30 17:17:40,EX1,W6,-0.002,6
VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11,VH075030,B3N049.1,11,PTVB827,3GJPBVH.VH075P,-,2024-05-30 15:39:37,2024-05-30 17:17:40,EX1,W7,-0.0003629934,7
VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11,VH075030,B3N049.1,11,PTVB827,3GJPBVH.VH075P,-,2024-05-30 15:39:37,2024-05-30 17:17:40,EX1,W8,0.01256712,8
VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11,VH075030,B3N049.1,11,PTVB827,3GJPBVH.VH075P,-,2024-05-30 15:39:37,2024-05-30 17:17:40,EX1,W9,0.05870057,9
VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11,VH075030,B3N049.1,11,PTVB827,3GJPBVH.VH075P,-,2024-05-30 15:39:37,2024-05-30 17:17:40,EX1,W10,-0.02280338,10
VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11,VH075030,B3N049.1,11,PTVB827,3GJPBVH.VH075P,-,2024-05-30 15:39:37,2024-05-30 17:17:40,EX1,W11,0.01761175,11
VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11,VH075030,B3N049.1,11,PTVB827,3GJPBVH.VH075P,-,2024-05-30 15:39:37,2024-05-30 17:17:40,EX1,W12,-0.01444486,12
VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11,VH075030,B3N049.1,11,PTVB827,3GJPBVH.VH075P,-,2024-05-30 15:39:37,2024-05-30 17:17:40,EX1,W13,-0.0008916951,13
VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11,VH075030,B3N049.1,11,PTVB827,3GJPBVH.VH075P,-,2024-05-30 15:39:37,2024-05-30 17:17:40,EX1,W14,1.12852e-05,14
VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11,VH075030,B3N049.1,11,PTVB827,3GJPBVH.VH075P,-,2024-05-30 15:39:37,2024-05-30 17:17:40,EX1,W15,0.000140926,15
VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11,VH075030,B3N049.1,11,PTVB827,3GJPBVH.VH075P,-,2024-05-30 15:39:37,2024-05-30 17:17:40,EX1,W16,0.0001203814,16
VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11,VH075030,B3N049.1,11,PTVB827,3GJPBVH.VH075P,-,2024-05-30 15:39:37,2024-05-30 17:17:40,EX1,W17,0.0002664314,17
VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11,VH075030,B3N049.1,11,PTVB827,3GJPBVH.VH075P,-,2024-05-30 15:39:37,2024-05-30 17:17:40,EX1,W18,-0.0004313949,18
VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11,VH075030,B3N049.1,11,PTVB827,3GJPBVH.VH075P,-,2024-05-30 15:39:37,2024-05-30 17:17:40,EX1,W19,4.56143e-05,19
VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11,VH075030,B3N049.1,11,PTVB827,3GJPBVH.VH075P,-,2024-05-30 15:39:37,2024-05-30 17:17:40,EX1,W20,4.64246e-05,20
VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11,VH075030,B3N049.1,11,PTVB827,3GJPBVH.VH075P,-,2024-05-30 15:39:37,2024-05-30 17:17:40,EX1,R3,0.0062,21
VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11,VH075030,B3N049.1,11,PTVB827,3GJPBVH.VH075P,-,2024-05-30 15:39:37,2024-05-30 17:17:40,EX1,R4,0.0142,22
VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11,VH075030,B3N049.1,11,PTVB827,3GJPBVH.VH075P,-,2024-05-30 15:39:37,2024-05-30 17:17:40,EX1,R5,-0.0962,23
VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11,VH075030,B3N049.1,11,PTVB827,3GJPBVH.VH075P,-,2024-05-30 15:39:37,2024-05-30 17:17:40,EX1,R6,-0.038,24
VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11,VH075030,B3N049.1,11,PTVB827,3GJPBVH.VH075P,-,2024-05-30 15:39:37,2024-05-30 17:17:40,EX1,R7,0.002341729,25
VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11,VH075030,B3N049.1,11,PTVB827,3GJPBVH.VH075P,-,2024-05-30 15:39:37,2024-05-30 17:17:40,EX1,R8,-0.0003748598,26
VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11,VH075030,B3N049.1,11,PTVB827,3GJPBVH.VH075P,-,2024-05-30 15:39:37,2024-05-30 17:17:40,EX1,R9,-0.0002742307,27
VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11,VH075030,B3N049.1,11,PTVB827,3GJPBVH.VH075P,-,2024-05-30 15:39:37,2024-05-30 17:17:40,EX1,R10,0.0005110797,28
VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11,VH075030,B3N049.1,11,PTVB827,3GJPBVH.VH075P,-,2024-05-30 15:39:37,2024-05-30 17:17:40,EX1,R11,-0.0003887448,29
VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11,VH075030,B3N049.1,11,PTVB827,3GJPBVH.VH075P,-,2024-05-30 15:39:37,2024-05-30 17:17:40,EX1,R12,-0.004870535,30
VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11,VH075030,B3N049.1,11,PTVB827,3GJPBVH.VH075P,-,2024-05-30 15:39:37,2024-05-30 17:17:40,EX1,R13,-0.0004388718,31
VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11,VH075030,B3N049.1,11,PTVB827,3GJPBVH.VH075P,-,2024-05-30 15:39:37,2024-05-30 17:17:40,EX1,R14,0.0003483008,32
VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11,VH075030,B3N049.1,11,PTVB827,3GJPBVH.VH075P,-,2024-05-30 15:39:37,2024-05-30 17:17:40,EX1,R15,0.0004777436,33
VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11,VH075030,B3N049.1,11,PTVB827,3GJPBVH.VH075P,-,2024-05-30 15:39:37,2024-05-30 17:17:40,EX1,R16,-0.000229825,34
VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11,VH075030,B3N049.1,11,PTVB827,3GJPBVH.VH075P,-,2024-05-30 15:39:37,2024-05-30 17:17:40,EX1,R17,0.0003856303,35
VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11,VH075030,B3N049.1,11,PTVB827,3GJPBVH.VH075P,-,2024-05-30 15:39:37,2024-05-30 17:17:40,EX1,R18,-0.0001781078,36
VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11,VH075030,B3N049.1,11,PTVB827,3GJPBVH.VH075P,-,2024-05-30 15:39:37,2024-05-30 17:17:40,EX1,R19,-0.0004658866,37
VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11,VH075030,B3N049.1,11,PTVB827,3GJPBVH.VH075P,-,2024-05-30 15:39:37,2024-05-30 17:17:40,EX1,R20,0.0,38
WF075030_PTVP841_5G4PPWF.WF075P_-_2024-07-16 23:04:19_2024-07-16 23:55:04_PDS211.1_11,WF075030,PDS211.1,11,PTVP841,5G4PPWF.WF075P,-,2024-07-16 23:04:19,2024-07-16 23:55:04,EX1,W1,0.0021678,1
WF075030_PTVP841_5G4PPWF.WF075P_-_2024-07-16 23:04:19_2024-07-16 23:55:04_PDS211.1_11,WF075030,PDS211.1,11,PTVP841,5G4PPWF.WF075P,-,2024-07-16 23:04:19,2024-07-16 23:55:04,EX1,W2,-0.0019841,2
WF075030_PTVP841_5G4PPWF.WF075P_-_2024-07-16 23:04:19_2024-07-16 23:55:04_PDS211.1_11,WF075030,PDS211.1,11,PTVP841,5G4PPWF.WF075P,-,2024-07-16 23:04:19,2024-07-16 23:55:04,EX1,W3,-0.0175,3
WF075030_PTVP841_5G4PPWF.WF075P_-_2024-07-16 23:04:19_2024-07-16 23:55:04_PDS211.1_11,WF075030,PDS211.1,11,PTVP841,5G4PPWF.WF075P,-,2024-07-16 23:04:19,2024-07-16 23:55:04,EX1,W4,-0.0336,4
WF075030_PTVP841_5G4PPWF.WF075P_-_2024-07-16 23:04:19_2024-07-16 23:55:04_PDS211.1_11,WF075030,PDS211.1,11,PTVP841,5G4PPWF.WF075P,-,2024-07-16 23:04:19,2024-07-16 23:55:04,EX1,W5,-0.0016,5
WF075030_PTVP841_5G4PPWF.WF075P_-_2024-07-16 23:04:19_2024-07-16 23:55:04_PDS211.1_11,WF075030,PDS211.1,11,PTVP841,5G4PPWF.WF075P,-,2024-07-16 23:04:19,2024-07-16 23:55:04,EX1,W6,-0.0001,6
WF075030_PTVP841_5G4PPWF.WF075P_-_2024-07-16 23:04:19_2024-07-16 23:55:04_PDS211.1_11,WF075030,PDS211.1,11,PTVP841,5G4PPWF.WF075P,-,2024-07-16 23:04:19,2024-07-16 23:55:04,EX1,W7,0.01712423,7
WF075030_PTVP841_5G4PPWF.WF075P_-_2024-07-16 23:04:19_2024-07-16 23:55:04_PDS211.1_11,WF075030,PDS211.1,11,PTVP841,5G4PPWF.WF075P,-,2024-07-16 23:04:19,2024-07-16 23:55:04,EX1,W8,-0.01189238,8
WF075030_PTVP841_5G4PPWF.WF075P_-_2024-07-16 23:04:19_2024-07-16 23:55:04_PDS211.1_11,WF075030,PDS211.1,11,PTVP841,5G4PPWF.WF075P,-,2024-07-16 23:04:19,2024-07-16 23:55:04,EX1,W9,-0.06799856,9
WF075030_PTVP841_5G4PPWF.WF075P_-_2024-07-16 23:04:19_2024-07-16 23:55:04_PDS211.1_11,WF075030,PDS211.1,11,PTVP841,5G4PPWF.WF075P,-,2024-07-16 23:04:19,2024-07-16 23:55:04,EX1,W10,-0.006760509,10
WF075030_PTVP841_5G4PPWF.WF075P_-_2024-07-16 23:04:19_2024-07-16 23:55:04_PDS211.1_11,WF075030,PDS211.1,11,PTVP841,5G4PPWF.WF075P,-,2024-07-16 23:04:19,2024-07-16 23:55:04,EX1,W11,0.06074488,11
WF075030_PTVP841_5G4PPWF.WF075P_-_2024-07-16 23:04:19_2024-07-16 23:55:04_PDS211.1_11,WF075030,PDS211.1,11,PTVP841,5G4PPWF.WF075P,-,2024-07-16 23:04:19,2024-07-16 23:55:04,EX1,W12,0.04096515,12
WF075030_PTVP841_5G4PPWF.WF075P_-_2024-07-16 23:04:19_2024-07-16 23:55:04_PDS211.1_11,WF075030,PDS211.1,11,PTVP841,5G4PPWF.WF075P,-,2024-07-16 23:04:19,2024-07-16 23:55:04,EX1,W13,-5.16421e-05,13
WF075030_PTVP841_5G4PPWF.WF075P_-_2024-07-16 23:04:19_2024-07-16 23:55:04_PDS211.1_11,WF075030,PDS211.1,11,PTVP841,5G4PPWF.WF075P,-,2024-07-16 23:04:19,2024-07-16 23:55:04,EX1,W14,6.71337e-05,14
WF075030_PTVP841_5G4PPWF.WF075P_-_2024-07-16 23:04:19_2024-07-16 23:55:04_PDS211.1_11,WF075030,PDS211.1,11,PTVP841,5G4PPWF.WF075P,-,2024-07-16 23:04:19,2024-07-16 23:55:04,EX1,W15,-0.0001027378,15
WF075030_PTVP841_5G4PPWF.WF075P_-_2024-07-16 23:04:19_2024-07-16 23:55:04_PDS211.1_11,WF075030,PDS211.1,11,PTVP841,5G4PPWF.WF075P,-,2024-07-16 23:04:19,2024-07-16 23:55:04,EX1,W16,3.29524e-05,16
WF075030_PTVP841_5G4PPWF.WF075P_-_2024-07-16 23:04:19_2024-07-16 23:55:04_PDS211.1_11,WF075030,PDS211.1,11,PTVP841,5G4PPWF.WF075P,-,2024-07-16 23:04:19,2024-07-16 23:55:04,EX1,W17,-0.001002229,17
WF075030_PTVP841_5G4PPWF.WF075P_-_2024-07-16 23:04:19_2024-07-16 23:55:04_PDS211.1_11,WF075030,PDS211.1,11,PTVP841,5G4PPWF.WF075P,-,2024-07-16 23:04:19,2024-07-16 23:55:04,EX1,W18,-0.0001429404,18
WF075030_PTVP841_5G4PPWF.WF075P_-_2024-07-16 23:04:19_2024-07-16 23:55:04_PDS211.1_11,WF075030,PDS211.1,11,PTVP841,5G4PPWF.WF075P,-,2024-07-16 23:04:19,2024-07-16 23:55:04,EX1,W19,-0.000149861,19
WF075030_PTVP841_5G4PPWF.WF075P_-_2024-07-16 23:04:19_2024-07-16 23:55:04_PDS211.1_11,WF075030,PDS211.1,11,PTVP841,5G4PPWF.WF075P,-,2024-07-16 23:04:19,2024-07-16 23:55:04,EX1,W20,-0.0002030119,20
WF075030_PTVP841_5G4PPWF.WF075P_-_2024-07-16 23:04:19_2024-07-16 23:55:04_PDS211.1_11,WF075030,PDS211.1,11,PTVP841,5G4PPWF.WF075P,-,2024-07-16 23:04:19,2024-07-16 23:55:04,EX1,R3,-0.2211,21
WF075030_PTVP841_5G4PPWF.WF075P_-_2024-07-16 23:04:19_2024-07-16 23:55:04_PDS211.1_11,WF075030,PDS211.1,11,PTVP841,5G4PPWF.WF075P,-,2024-07-16 23:04:19,2024-07-16 23:55:04,EX1,R4,-0.0093,22
WF075030_PTVP841_5G4PPWF.WF075P_-_2024-07-16 23:04:19_2024-07-16 23:55:04_PDS211.1_11,WF075030,PDS211.1,11,PTVP841,5G4PPWF.WF075P,-,2024-07-16 23:04:19,2024-07-16 23:55:04,EX1,R5,-0.0311,23
WF075030_PTVP841_5G4PPWF.WF075P_-_2024-07-16 23:04:19_2024-07-16 23:55:04_PDS211.1_11,WF075030,PDS211.1,11,PTVP841,5G4PPWF.WF075P,-,2024-07-16 23:04:19,2024-07-16 23:55:04,EX1,R6,0.1201,24
WF075030_PTVP841_5G4PPWF.WF075P_-_2024-07-16 23:04:19_2024-07-16 23:55:04_PDS211.1_11,WF075030,PDS211.1,11,PTVP841,5G4PPWF.WF075P,-,2024-07-16 23:04:19,2024-07-16 23:55:04,EX1,R7,-0.00719662,25
WF075030_PTVP841_5G4PPWF.WF075P_-_2024-07-16 23:04:19_2024-07-16 23:55:04_PDS211.1_11,WF075030,PDS211.1,11,PTVP841,5G4PPWF.WF075P,-,2024-07-16 23:04:19,2024-07-16 23:55:04,EX1,R8,-0.0006600425,26
WF075030_PTVP841_5G4PPWF.WF075P_-_2024-07-16 23:04:19_2024-07-16 23:55:04_PDS211.1_11,WF075030,PDS211.1,11,PTVP841,5G4PPWF.WF075P,-,2024-07-16 23:04:19,2024-07-16 23:55:04,EX1,R9,-0.0003541937,27
WF075030_PTVP841_5G4PPWF.WF075P_-_2024-07-16 23:04:19_2024-07-16 23:55:04_PDS211.1_11,WF075030,PDS211.1,11,PTVP841,5G4PPWF.WF075P,-,2024-07-16 23:04:19,2024-07-16 23:55:04,EX1,R10,-0.0003385874,28
WF075030_PTVP841_5G4PPWF.WF075P_-_2024-07-16 23:04:19_2024-07-16 23:55:04_PDS211.1_11,WF075030,PDS211.1,11,PTVP841,5G4PPWF.WF075P,-,2024-07-16 23:04:19,2024-07-16 23:55:04,EX1,R11,-0.003300437,29
WF075030_PTVP841_5G4PPWF.WF075P_-_2024-07-16 23:04:19_2024-07-16 23:55:04_PDS211.1_11,WF075030,PDS211.1,11,PTVP841,5G4PPWF.WF075P,-,2024-07-16 23:04:19,2024-07-16 23:55:04,EX1,R12,0.004310712,30
WF075030_PTVP841_5G4PPWF.WF075P_-_2024-07-16 23:04:19_2024-07-16 23:55:04_PDS211.1_11,WF075030,PDS211.1,11,PTVP841,5G4PPWF.WF075P,-,2024-07-16 23:04:19,2024-07-16 23:55:04,EX1,R13,0.001924883,31
WF075030_PTVP841_5G4PPWF.WF075P_-_2024-07-16 23:04:19_2024-07-16 23:55:04_PDS211.1_11,WF075030,PDS211.1,11,PTVP841,5G4PPWF.WF075P,-,2024-07-16 23:04:19,2024-07-16 23:55:04,EX1,R14,0.0003686854,32
WF075030_PTVP841_5G4PPWF.WF075P_-_2024-07-16 23:04:19_2024-07-16 23:55:04_PDS211.1_11,WF075030,PDS211.1,11,PTVP841,5G4PPWF.WF075P,-,2024-07-16 23:04:19,2024-07-16 23:55:04,EX1,R15,7.52211e-05,33
WF075030_PTVP841_5G4PPWF.WF075P_-_2024-07-16 23:04:19_2024-07-16 23:55:04_PDS211.1_11,WF075030,PDS211.1,11,PTVP841,5G4PPWF.WF075P,-,2024-07-16 23:04:19,2024-07-16 23:55:04,EX1,R16,-0.0002221083,34
WF075030_PTVP841_5G4PPWF.WF075P_-_2024-07-16 23:04:19_2024-07-16 23:55:04_PDS211.1_11,WF075030,PDS211.1,11,PTVP841,5G4PPWF.WF075P,-,2024-07-16 23:04:19,2024-07-16 23:55:04,EX1,R17,-0.0002701137,35
WF075030_PTVP841_5G4PPWF.WF075P_-_2024-07-16 23:04:19_2024-07-16 23:55:04_PDS211.1_11,WF075030,PDS211.1,11,PTVP841,5G4PPWF.WF075P,-,2024-07-16 23:04:19,2024-07-16 23:55:04,EX1,R18,-4.5465e-05,36
WF075030_PTVP841_5G4PPWF.WF075P_-_2024-07-16 23:04:19_2024-07-16 23:55:04_PDS211.1_11,WF075030,PDS211.1,11,PTVP841,5G4PPWF.WF075P,-,2024-07-16 23:04:19,2024-07-16 23:55:04,EX1,R19,-4.35249e-05,37
WF075030_PTVP841_5G4PPWF.WF075P_-_2024-07-16 23:04:19_2024-07-16 23:55:04_PDS211.1_11,WF075030,PDS211.1,11,PTVP841,5G4PPWF.WF075P,-,2024-07-16 23:04:19,2024-07-16 23:55:04,EX1,R20,0.0,38
